funcionario_id,competencia_id,nivel_atual,nivel_obrigatorio,data_avaliacao,fonte_avaliacao,risco_lacuna_critica
F0001,COMP002,2,2,2026-02-16,AvaliacaoGestor,0
F0001,COMP003,1,2,2026-06-29,Certificacao,1
F0001,COMP001,2,2,2026-07-12,TesteTecnico,0
F0001,COMP011,3,2,2026-02-04,AvaliacaoGestor,0
F0001,COMP004,4,2,2026-03-12,TesteTecnico,0
F0002,COMP002,4,2,2025-10-16,TesteTecnico,0
F0002,COMP003,1,2,2025-10-20,Autoavaliacao,1
F0002,COMP012,4,2,2026-05-08,Autoavaliacao,0
F0002,COMP001,1,2,2025-10-12,Autoavaliacao,1
F0002,COMP018,2,2,2026-08-18,Autoavaliacao,0
F0002,COMP011,2,2,2026-04-04,Certificacao,0
F0003,COMP002,5,2,2025-11-16,AvaliacaoGestor,0
F0003,COMP012,2,2,2025-10-24,TesteTecnico,0
F0003,COMP014,1,2,2025-12-21,AvaliacaoGestor,1
F0003,COMP001,4,2,2026-01-09,Certificacao,0
F0003,COMP005,2,2,2026-04-07,AvaliacaoGestor,0
F0004,COMP016,2,2,2025-10-09,TesteTecnico,0
F0004,COMP017,2,2,2026-03-31,AvaliacaoGestor,0
F0004,COMP015,2,2,2026-07-09,AvaliacaoGestor,0
F0004,COMP002,4,2,2025-11-11,Certificacao,0
F0005,COMP002,2,2,2025-10-26,TesteTecnico,0
F0005,COMP013,2,2,2026-05-07,Certificacao,0
F0005,COMP012,3,2,2025-10-19,Certificacao,0
F0005,COMP008,1,2,2025-10-15,Autoavaliacao,1
F0005,COMP009,1,2,2026-03-27,TesteTecnico,1
F0005,COMP001,4,2,2026-06-26,Autoavaliacao,0
F0005,COMP010,2,2,2026-02-01,AvaliacaoGestor,0
F0006,COMP002,2,2,2025-12-04,Certificacao,0
F0006,COMP012,2,2,2025-12-29,Certificacao,0
F0006,COMP008,2,2,2026-07-05,TesteTecnico,0
F0006,COMP009,1,2,2026-05-09,TesteTecnico,1
F0006,COMP014,2,2,2026-07-17,TesteTecnico,0
F0006,COMP001,2,2,2026-01-12,Certificacao,0
F0006,COMP005,2,2,2025-11-06,TesteTecnico,0
F0007,COMP002,2,2,2025-10-24,AvaliacaoGestor,0
F0007,COMP006,2,2,2025-09-08,Certificacao,0
F0007,COMP012,1,2,2026-06-22,Autoavaliacao,1
F0007,COMP008,2,2,2025-12-23,Autoavaliacao,0
F0007,COMP001,3,2,2026-02-15,TesteTecnico,0
