funcionario_id,treinamento_id,data_conclusao,nota,aprovado
F0001,TREIN025,2025-07-06,6.8,False
F0001,TREIN020,2026-06-23,6.7,False
F0001,TREIN023,2025-11-09,6.4,False
F0001,TREIN022,2025-05-23,8.5,True
F0001,TREIN009,2025-11-27,8.8,True
F0001,TREIN010,2025-04-16,6.8,False
F0001,TREIN018,2026-08-13,6.6,False
F0001,TREIN021,2025-03-03,6.1,False
F0002,TREIN010,2025-11-30,6.5,False
F0003,TREIN024,2026-01-22,7.4,True
F0003,TREIN001,2025-10-17,9.1,True
F0003,TREIN008,2025-04-09,10.0,True
F0003,TREIN003,2025-05-15,8.8,True
F0003,TREIN005,2026-07-31,7.3,True
F0003,TREIN025,2026-04-05,6.2,False
F0003,TREIN016,2025-07-27,6.3,False
F0004,TREIN006,2025-08-03,9.1,True
F0004,TREIN007,2025-06-05,7.0,True
F0004,TREIN009,2026-07-29,6.8,False
F0004,TREIN013,2026-05-28,8.1,True
F0004,TREIN001,2026-01-31,7.9,True
F0004,TREIN004,2024-10-04,9.8,True
F0004,TREIN008,2025-10-06,6.6,False
F0006,TREIN017,2026-07-10,9.5,True
F0006,TREIN004,2026-01-21,9.9,True
F0006,TREIN009,2026-01-03,8.5,True
F0006,TREIN016,2025-10-04,6.1,False
F0006,TREIN021,2025-11-23,8.3,True
F0006,TREIN010,2025-07-23,9.2,True
F0006,TREIN007,2026-08-23,9.9,True
F0006,TREIN012,2025-01-14,9.1,True
F0007,TREIN023,2025-04-08,6.4,False
F0007,TREIN020,2024-12-07,7.4,True
F0007,TREIN005,2024-11-30,6.2,False
F0007,TREIN012,2025-09-02,8.6,True
F0007,TREIN003,2024-09-13,8.1,True
F0007,TREIN008,2026-05-15,6.5,False
F0007,TREIN006,2026-01-06,7.3,True
F0008,TREIN021,2025-12-19,9.6,True
F0008,TREIN012,2025-04-23,8.8,True
F0008,TREIN015,2025-02-06,7.2,True
F0008,TREIN007,2024-09-18,8.0,True
F0008,TREIN001,2025-01-29,6.7,False
F0008,TREIN013,2025-09-10,7.3,True
F0008,TREIN024,2025-05-10,7.1,True
F0008,TREIN005,2024-12-27,9.7,True
F0009,TREIN006,2025-08-22,7.8,True
